$Base,$HostnameLookups,$KeepAlive,$EnableSendfile,$FollowSymLinks,$AccessLog,$ExtendedStatus,$InMemory,$Handle,$<Performance
56,1,0,1,0,1,0,1,0,0,1950
61,1,0,1,0,1,0,1,0,1,1110
167,1,0,0,0,1,0,1,1,0,1380
121,1,1,0,0,0,0,1,0,0,900
12,1,0,0,0,1,1,0,0,0,1020
14,1,1,1,1,0,0,1,1,0,2160
161,1,0,1,0,0,1,0,1,0,2130
110,1,0,0,1,0,1,0,0,0,1170
10,1,1,1,1,0,1,0,1,0,1890
162,1,0,1,0,0,1,1,1,0,1980
46,1,0,0,1,1,0,1,0,1,1230
185,1,1,0,0,0,1,1,1,0,930
116,1,0,0,1,1,1,1,0,0,1110
105,1,0,1,1,0,0,1,0,0,2130
31,1,0,1,1,1,1,1,1,0,2070
92,1,1,1,1,0,1,0,0,1,1080
94,1,1,1,1,0,1,1,0,1,1470
22,1,1,1,1,1,0,0,1,0,2340
113,1,0,1,1,1,1,0,0,0,2040
163,1,0,0,0,1,0,0,1,0,1410
153,1,1,1,1,1,1,1,0,0,1800
131,1,1,1,1,0,1,0,0,0,1890
178,1,1,1,0,1,0,0,1,0,2280
137,1,0,0,0,0,1,0,0,0,1080
42,1,0,0,1,0,0,0,0,1,1200
81,1,1,1,0,1,0,1,0,1,1170
32,1,1,1,1,1,1,1,1,0,1860
20,1,1,0,1,1,0,0,1,0,1140
104,1,0,1,0,0,0,0,0,0,2040
15,1,1,1,1,0,1,1,1,0,1860
146,1,1,1,0,1,1,0,0,0,1770
36,1,0,0,0,0,1,0,0,1,1050
84,1,1,1,0,0,1,1,0,1,1140
47,1,0,0,1,0,1,0,0,1,1110
90,1,1,0,1,0,1,1,0,1,870
87,1,1,0,1,0,0,1,0,1,960
16,1,0,0,1,1,0,0,1,0,1470
19,1,0,1,1,1,0,1,1,0,2430
173,1,1,1,0,0,0,0,1,0,2280
179,1,1,1,0,1,0,1,1,0,2190
6,1,0,1,1,0,1,1,1,0,1980
50,1,0,0,1,1,1,1,0,1,1110
141,1,1,0,1,1,0,0,0,0,1080
151,1,1,0,1,1,1,1,0,0,900
115,1,0,0,0,0,0,1,0,0,1110
44,1,0,0,1,1,0,0,0,1,1200
107,1,0,0,1,1,0,1,0,0,1170
176,1,1,0,0,1,0,0,1,0,1140
156,1,0,0,0,0,0,1,1,0,1290
78,1,0,0,1,0,0,0,0,0,1320
73,1,1,0,0,1,0,0,0,1,1020
103,1,1,1,1,1,1,1,0,1,870
177,1,1,0,0,1,0,1,1,0,1050
97,1,1,1,1,1,0,0,0,1,1050
136,1,1,0,0,1,0,0,0,0,960
134,1,1,1,1,0,0,1,0,0,2010
112,1,0,0,1,1,1,0,0,0,1200
21,1,1,0,1,1,0,1,1,0,1080
76,1,1,0,0,1,1,1,0,1,900
143,1,1,1,1,1,0,0,0,0,2220
180,1,1,0,0,0,1,0,1,0,1020
182,1,1,1,0,0,1,0,1,0,1980
154,1,0,0,0,0,0,0,1,0,1410
145,1,1,0,0,1,1,0,0,0,900
126,1,0,1,0,0,0,1,0,0,1920
109,1,0,1,1,1,0,1,0,0,2190
165,1,0,0,0,1,1,0,1,0,1320
160,1,0,0,0,0,1,1,1,0,1140
99,1,1,0,1,1,1,0,0,1,930
183,1,1,0,0,1,1,0,1,0,1020
117,1,0,1,1,0,1,1,0,0,1830
135,1,1,1,1,0,1,1,0,0,1770
138,1,1,1,0,1,0,0,0,0,1950
157,1,0,1,0,0,0,1,1,0,2250
188,1,1,1,0,1,1,1,1,0,1920
101,1,1,1,1,1,1,0,0,1,1170
147,1,1,0,1,1,1,0,0,0,960
119,1,1,0,0,0,0,0,0,0,990
122,1,1,1,0,0,0,1,0,0,1830
48,1,0,0,1,1,1,0,0,1,1140
54,1,0,1,0,0,1,1,0,1,1260
144,1,1,1,1,1,0,1,0,0,2070
2,1,0,1,1,0,0,1,1,0,2310
174,1,1,0,0,0,0,1,1,0,1020
133,1,1,0,1,0,1,1,0,0,900
152,1,1,1,0,1,1,1,0,0,1680
86,1,1,0,1,0,0,0,0,1,990
52,1,0,1,0,0,0,1,0,1,1350
72,1,1,0,0,0,1,1,0,1,870
139,1,1,0,0,1,0,1,0,0,930
24,1,1,1,1,1,0,1,1,0,2190
71,1,1,0,0,0,1,0,0,1,930
59,1,0,1,1,0,1,1,0,1,1230
149,1,1,1,1,1,1,0,0,0,1920
118,1,0,1,1,1,1,1,0,0,1890
169,1,0,1,0,1,0,1,1,0,2430
