training_percent, mean, iqr, saved_time, total_time, technique, evaluations 
0.1,0.162080239619,0.107346616671,20907.7552873,21178.0,32,random_where
0.2,0.164008055408,0.104488402603,20920.7887523,21178.0,32,random_where
0.3,0.265499756048,2.11978275963,20901.9124223,21178.0,32,random_where
0.4,0.0454010900278,0.0446449441134,20656.9998373,21178.0,64,random_where
0.5,0.0421904319939,0.0188998053539,20629.4193123,21178.0,64,random_where
0.6,0.058672188984,0.0414199229095,20628.9760023,21178.0,64,random_where
0.7,0.0440802672735,0.0265527683806,20653.8368123,21178.0,64,random_where
0.8,0.0626657909193,0.0382598320443,20644.3168473,21178.0,64,random_where
0.9,0.0438194653664,0.0210913979913,20650.0423573,21178.0,64,random_where
0.1,0.00673234018901,0.00181998311282,19050.5884873,21178.0,256,base_line
0.2,0.00539952906314,0.000352194825495,16964.2393273,21178.0,512,base_line
0.3,0.00479385300193,0.000423558349052,14953.2498773,21178.0,768,base_line
0.4,0.00425815347427,0.000357007242312,12748.0264623,21178.0,1024,base_line
0.5,0.0039184881172,0.000251184599394,10638.2847473,21178.0,1280,base_line
0.6,0.00360377677192,0.00015901092273,8528.33977731,21178.0,1536,base_line
0.7,0.00340575270933,0.000205075647281,6306.87567731,21178.0,1792,base_line
0.8,0.00320032048735,0.000270470039633,4305.02345731,21178.0,2049,base_line
0.9,0.00316918762737,0.000312432736748,2135.59400731,21178.0,2305,base_line
0.1,0.413476362432,0.0793522484749,21148.5354273,21178.0,32,exemplar_where
0.2,0.465661925969,0.0547397946708,21159.8277523,21178.0,32,exemplar_where
0.3,0.561907369657,0.11934231904,21162.7137423,21178.0,32,exemplar_where
0.4,0.387174035157,0.0292624602638,21138.4539223,21178.0,64,exemplar_where
0.5,0.401850936248,0.0363025631386,21142.0315973,21178.0,64,exemplar_where
0.6,0.420476411391,0.03636990303,21143.2851723,21178.0,64,exemplar_where
0.7,0.440407895815,0.0512635126361,21145.2744673,21178.0,64,exemplar_where
0.8,0.426388034853,0.0253227223213,21145.8885073,21178.0,64,exemplar_where
0.9,0.452528110028,0.0435056120961,21147.3525523,21178.0,64,exemplar_where
0.1,0.105851576171,0.0756174243487,20405.7397523,21178.0,64,east_west_where
0.2,0.206141364111,0.662063922227,20260.8029373,21178.0,64,east_west_where
0.3,1.69699367583,2.71056244859,20164.3458523,21178.0,64,east_west_where
0.4,0.0697814016391,0.0629622757373,19365.4984873,21178.0,128,east_west_where
0.5,0.0820405088271,0.0412771132754,19327.5195323,21178.0,128,east_west_where
0.6,0.0922831584739,0.0701960755602,19307.8572723,21178.0,128,east_west_where
0.7,0.101546457129,0.172699775395,19199.4054273,21178.0,128,east_west_where
0.8,0.115457636037,0.0596607941781,19214.4617973,21178.0,128,east_west_where
0.9,0.173607769445,0.47511383774,19119.8717023,21178.0,128,east_west_where
