training_percent, mean, iqr, saved_time, total_time, technique 
0.1,0.336672386095,0.0476905154893,1112551.2,1124212.0,random_where
0.2,0.629420277335,0.743793397992,1097098.0,1124212.0,random_where
0.3,0.380034910471,0.284105536937,1069640.6,1124212.0,random_where
0.4,0.383287857543,0.436417773012,1075783.45,1124212.0,random_where
0.5,0.0323257808191,0.0134780327026,1025464.55,1124212.0,random_where
0.6,0.0349319200794,0.00532665405457,1022992.15,1124212.0,random_where
0.7,0.0341649567898,0.0197457916014,1021928.25,1124212.0,random_where
0.8,0.0345877833483,0.0102771886242,1024299.65,1124212.0,random_where
0.9,0.0263209075424,0.00793729494637,942672.9,1124212.0,random_where
0.1,0.0349009789133,0.114742968447,1010226.5,1124212.0,base_line
0.2,0.0235969049788,0.00512126649193,903701.5,1124212.0,base_line
0.3,0.019755622232,0.00411979006867,781938.4,1124212.0,base_line
0.4,0.0204820385091,0.00258413085444,665843.5,1124212.0,base_line
0.5,0.0199539867373,0.00548792566675,561911.1,1124212.0,base_line
0.6,0.0204954587249,0.00357202564185,444908.9,1124212.0,base_line
0.7,0.0189910420386,0.00289835492752,332149.1,1124212.0,base_line
0.8,0.0186277310542,0.00325139144654,210308.85,1124212.0,base_line
0.9,0.0155398999678,0.00981452352945,103550.1,1124212.0,base_line
0.1,0.342182459111,0.012277107738,1117759.6,1124212.0,exemplar_where
0.2,0.34358488218,0.0271002373978,1110770.1,1124212.0,exemplar_where
0.3,0.228385557283,0.164767543011,1094140.8,1124212.0,exemplar_where
0.4,0.190072534169,0.12936849225,1096045.7,1124212.0,exemplar_where
0.5,0.140578631082,0.0592645709715,1061235.15,1124212.0,exemplar_where
0.6,0.156005324988,0.0411568847976,1063209.7,1124212.0,exemplar_where
0.7,0.14290037094,0.0596109148167,1061069.8,1124212.0,exemplar_where
0.8,0.147418961336,0.0551346153214,1059204.85,1124212.0,exemplar_where
0.9,0.0332484507505,0.0123356472292,989677.3,1124212.0,exemplar_where
0.1,0.773505066303,0.75590899874,1089197.15,1124212.0,east_west_where
0.2,0.431843042727,0.28130654812,1062772.05,1124212.0,east_west_where
0.3,0.0360425174703,0.0780893644828,1010509.25,1124212.0,east_west_where
0.4,0.0345250738816,0.0138535270861,1007637.55,1124212.0,east_west_where
0.5,0.0227600487785,0.00644682814413,915287.85,1124212.0,east_west_where
0.6,0.0240619766915,0.00566917716968,914160.85,1124212.0,east_west_where
0.7,0.0261584080489,0.00676611139656,908804.3,1124212.0,east_west_where
0.8,0.0236941945525,0.00659079577577,903807.2,1124212.0,east_west_where
0.9,0.0187611290589,0.00609507778311,743374.15,1124212.0,east_west_where
